
Vermeidbare Sterbefälle je 100.000 Einwohner (ab 1980). Gliederungsmerkmale: Jahre, Region, Geschlecht
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Geschlecht:;Insgesamt;"2020";"2019";"2018";"2017";"2016";"2015";"2010";"2005";"2000";"1995";"1990";"1985";"1980";
"        Deutschland";"11,0";"10,8";"11,0";"11,0";"11,2";"11,1";"10,8";"12,4";"15,3";"18,6";"24,7";"29,5";"34,9";
"          Baden-Württemberg";"9,7";"9,2";"8,7";"9,1";"9,7";"9,0";"9,3";"9,8";"13,8";"16,5";"20,3";"22,5";"27,7";
"          Bayern";"10,0";"9,6";"9,6";"9,6";"10,1";"9,6";"9,8";"11,4";"13,8";"17,2";"21,4";"24,1";"31,4";
"          Berlin";"10,4";"10,9";"12,2";"10,9";"12,0";"11,5";"12,4";"15,0";"15,6";"21,2";"26,8";".";".";
"            Berlin-West";".";".";".";".";".";".";".";".";".";"23,0";"25,0";"32,0";"41,3";
"            Berlin-Ost";".";".";".";".";".";".";".";".";".";"18,1";"29,8";".";".";
"          Brandenburg";"12,2";"11,2";"11,9";"12,5";"13,1";"12,2";"12,5";"14,8";"16,3";"21,9";"37,1";".";".";
"          Bremen";"16,2";"14,5";"15,7";"11,2";"10,8";"12,4";"11,4";"15,4";"18,0";"19,0";"20,5";"23,5";"36,0";
"          Hamburg";"9,5";"9,9";"8,3";"9,9";"8,8";"11,1";"11,3";"12,2";"12,5";"15,5";"18,4";"21,7";"27,5";
"          Hessen";"9,4";"9,9";"10,8";"10,4";"9,5";"10,5";"10,3";"10,9";"14,0";"14,7";"18,6";"25,7";"29,2";
"          Mecklenburg-Vorpommern";"14,7";"14,6";"16,7";"14,2";"15,1";"15,6";"12,3";"13,2";"16,8";"21,3";"35,8";".";".";
"          Niedersachsen";"12,3";"12,1";"12,1";"11,8";"12,7";"11,7";"11,0";"12,6";"16,0";"16,9";"21,1";"24,8";"30,6";
"          Nordrhein-Westfalen";"10,5";"10,8";"11,1";"11,2";"11,1";"10,9";"10,8";"13,0";"16,0";"20,8";"23,5";"27,9";"34,7";
"          Rheinland-Pfalz";"12,1";"11,7";"11,6";"11,4";"11,8";"11,5";"11,8";"13,0";"16,7";"18,2";"25,5";"29,8";"35,9";
"          Saarland";"12,1";"11,2";"13,9";"14,4";"15,3";"12,8";"13,0";"14,3";"16,2";"21,5";"24,8";"33,9";"40,8";
"          Sachsen";"12,4";"12,2";"11,9";"12,9";"13,6";"15,3";"10,8";"12,6";"16,9";"20,9";"36,0";".";".";
"          Sachsen-Anhalt";"16,4";"14,4";"14,1";"15,6";"16,1";"15,9";"14,8";"16,2";"18,6";"23,1";"40,7";".";".";
"          Schleswig-Holstein";"11,9";"10,6";"10,5";"9,8";"9,8";"9,4";"9,2";"11,8";"14,7";"15,5";"20,0";"22,2";"26,8";
"          Thüringen";"11,5";"12,8";"13,0";"12,3";"11,3";"12,2";"11,9";"13,1";"15,4";"20,4";"34,6";".";".";
"        Früheres Bundesgebiet";".";".";".";".";".";".";".";".";".";"18,0";"21,8";"25,7";"32,0";
"        Neue Länder und Berlin-Ost";".";".";".";".";".";".";".";".";".";"21,2";"36,2";"43,3";"45,5";
"        Früheres Bundesgebiet ohne Berlin-West";"10,6";"10,4";"10,5";"10,5";"10,7";"10,4";"10,4";"11,9";"15,0";"17,9";"21,7";"25,6";"31,7";
"        Früheres Bundesgebiet und Berlin-Ost";"10,6";"10,5";"10,6";"10,5";"10,8";"10,5";"10,5";"12,1";"15,0";"18,0";"21,9";".";".";
"        Neue Länder ohne Berlin-Ost";"13,2";"12,8";"13,1";"13,4";"13,7";"14,3";"12,2";"13,9";"16,9";"21,5";"36,8";".";".";

****************************************************************************************************
Fußnoten
****************************************************************************************************

1.;Berichtsjahr 2019: Von zwei  Bundesländern wurden  auf regionaler Ebene aus Geheimhaltungsgründen andere  Daten veröffentlicht.  Es kann daher  zwischen den regionalen Veröffentlichungen und den
hier veröffentlichten Daten zu geringfügigen Abweichungen kommen.

****************************************************************************************************
Die Tabelle wurde am 21.08.2022 16:12 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
Todesursachenstatistik, Statistisches Bundesamt, Zweigstelle Bonn
Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt
